,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,15165.300059067678,1.183546191484811,50.94773007870265
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,1858.9812921502744,1.0625317646192443,30.062257083657478
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,9925.14835919825,1.0503451784170081,21.28557682616593
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,4962.139026058114,1.0729918702735555,33.41906428061954
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,97370.46449920043,1.13859055699369,27.699718234848746
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,18113.276258307513,1.046702525540089,33.40169474861009
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,45901.10898283217,1.1561469269178966,28.983981015311883
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,97713.70094608227,1.1209035912630678,23.18823651554832
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,3110.998612657895,1.0699231794633814,42.56127866184469
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,4305.931118946795,1.0445617885051048,32.11849613179695
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,14094.52715461727,1.0575541681444844,29.306124455301383
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,22136.334531701435,1.0614360519295027,38.06711349179644
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,3207.4553317207174,1.0627546109287478,31.139825974835958
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,17913.422749974558,1.0595664428514682,28.86616207774256
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,66520.86160903075,1.1459001646086913,27.293453421001587
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,30478.03789378767,1.0599239490874326,26.167423749445433
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,8417.231712960252,1.0599613258633402,27.702682413791415
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,25387.929929122467,1.1787806852010512,40.56845624664186
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,11493.811421774528,1.1235793042468953,29.022280367724104
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,12449.671695166533,1.1374265257019285,20.10583707154909
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,16104.504970508851,1.1396022374245143,26.27269684703589
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,8034.982456801354,1.0537875673676136,27.918073112197646
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,160158.9303040906,1.1524979938900892,26.20407485339789
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,27933.681503597683,1.1359304587165497,38.33080454556282
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,54571.23149328733,1.1344790926623642,30.196415976645362
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,30086.04452941677,1.1517136484725528,32.874482830268526
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,9263.737127818811,1.1542818520024796,40.864320721105585
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,9509.519994717848,1.2413261591897735,53.31009232958634
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,4485.212525660656,1.154831199579728,30.67585054300617
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,70139.54018375672,1.1553367487733845,30.58862811192655
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,21365.294652455093,1.0601835870359244,38.144854637952896
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,544.6255904891259,1.0523734607732993,39.412461792512815
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,38240.22656946683,1.1492098177372634,22.892997621701383
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,24653.13764257246,1.0593795594220423,25.404668642633787
